nohup: ignoring input
Read Training Data ...
Done ...
Read Testing Data ...
Done ...
Train Epoch 1 iter 219 Loss: 2.0711, Accuracy: 0.1600
Train Epoch 1 iter 220 Loss: 2.1629, Accuracy: 0.2000
Train Epoch 1 iter 221 Loss: 2.3183, Accuracy: 0.0800
Train Epoch 1 iter 222 Loss: 2.1232, Accuracy: 0.2000
Train Epoch 1 iter 223 Loss: 2.2316, Accuracy: 0.1000
Train Epoch 1 iter 224 Loss: 2.2392, Accuracy: 0.1400
Train Epoch 1 iter 225 Loss: 2.2479, Accuracy: 0.1200
Train Epoch 1 iter 226 Loss: 2.2275, Accuracy: 0.1400
Train Epoch 1 iter 227 Loss: 2.1828, Accuracy: 0.2200
Train Epoch 1 iter 228 Loss: 2.2761, Accuracy: 0.1400
Train Epoch 1 iter 229 Loss: 2.2875, Accuracy: 0.1400
Train Epoch 1 iter 230 Loss: 2.3746, Accuracy: 0.0600
Train Epoch 1 iter 231 Loss: 2.1784, Accuracy: 0.1400
Train Epoch 1 iter 232 Loss: 2.2732, Accuracy: 0.2000
Train Epoch 1 iter 233 Loss: 2.2399, Accuracy: 0.1600
Train Epoch 1 iter 234 Loss: 2.2279, Accuracy: 0.1600
Train Epoch 1 iter 235 Loss: 2.3703, Accuracy: 0.1000
Train Epoch 1 iter 236 Loss: 2.3067, Accuracy: 0.0800
Train Epoch 1 iter 237 Loss: 2.3479, Accuracy: 0.1000
Train Epoch 1 iter 238 Loss: 2.2067, Accuracy: 0.1400
Train Epoch 1 iter 239 Loss: 2.1557, Accuracy: 0.1800
Train Epoch 1 iter 240 Loss: 2.2487, Accuracy: 0.1200
Train Epoch 1 iter 241 Loss: 2.2629, Accuracy: 0.1200
Train Epoch 1 iter 242 Loss: 2.2648, Accuracy: 0.0600
Train Epoch 1 iter 243 Loss: 2.2325, Accuracy: 0.0800
Train Epoch 1 iter 244 Loss: 2.1994, Accuracy: 0.1200
Train Epoch 1 iter 245 Loss: 2.2087, Accuracy: 0.1200
Train Epoch 1 iter 246 Loss: 2.3158, Accuracy: 0.0600
Train Epoch 1 iter 247 Loss: 2.2778, Accuracy: 0.0400
Train Epoch 1 iter 248 Loss: 2.3359, Accuracy: 0.0600
Train Epoch 1 iter 249 Loss: 2.2251, Accuracy: 0.2000
Train Epoch 1 iter 250 Loss: 2.2525, Accuracy: 0.1400
Train Epoch 1 iter 251 Loss: 2.2902, Accuracy: 0.0800
Train Epoch 1 iter 252 Loss: 2.2580, Accuracy: 0.1000
Train Epoch 1 iter 253 Loss: 2.1608, Accuracy: 0.1800
Train Epoch 1 iter 254 Loss: 2.2722, Accuracy: 0.1800
Train Epoch 1 iter 255 Loss: 2.2423, Accuracy: 0.1400
Train Epoch 1 iter 256 Loss: 2.2923, Accuracy: 0.0800
Train Epoch 1 iter 257 Loss: 2.2581, Accuracy: 0.1400
Train Epoch 1 iter 258 Loss: 2.1558, Accuracy: 0.2200
Train Epoch 1 iter 259 Loss: 2.2627, Accuracy: 0.1400
Train Epoch 1 iter 260 Loss: 2.3469, Accuracy: 0.0800
Train Epoch 1 iter 261 Loss: 2.2873, Accuracy: 0.1600
Train Epoch 1 iter 262 Loss: 2.1576, Accuracy: 0.1600
Train Epoch 1 iter 263 Loss: 2.3102, Accuracy: 0.1600
Train Epoch 1 iter 264 Loss: 2.2572, Accuracy: 0.2200
Train Epoch 1 iter 265 Loss: 2.3174, Accuracy: 0.0800
Train Epoch 1 iter 266 Loss: 2.2761, Accuracy: 0.0800
Train Epoch 1 iter 267 Loss: 2.2569, Accuracy: 0.1200
Train Epoch 1 iter 268 Loss: 2.2692, Accuracy: 0.1600
Train Epoch 1 iter 269 Loss: 2.3458, Accuracy: 0.1200
Train Epoch 1 iter 270 Loss: 2.1633, Accuracy: 0.1600
Train Epoch 1 iter 271 Loss: 2.1966, Accuracy: 0.2200
Train Epoch 1 iter 272 Loss: 2.1884, Accuracy: 0.1200
Train Epoch 1 iter 273 Loss: 2.2491, Accuracy: 0.1600
Train Epoch 1 iter 274 Loss: 2.2782, Accuracy: 0.0400
Train Epoch 1 iter 275 Loss: 2.3436, Accuracy: 0.1800
Train Epoch 1 iter 276 Loss: 2.3492, Accuracy: 0.1200
Train Epoch 1 iter 277 Loss: 2.1781, Accuracy: 0.0600
Train Epoch 1 iter 278 Loss: 2.1354, Accuracy: 0.1800
Train Epoch 1 iter 279 Loss: 2.3232, Accuracy: 0.0800
Train Epoch 1 iter 280 Loss: 2.2351, Accuracy: 0.1400
Train Epoch 1 iter 281 Loss: 2.2975, Accuracy: 0.1000
Train Epoch 1 iter 282 Loss: 2.2623, Accuracy: 0.1400
Train Epoch 1 iter 283 Loss: 2.2785, Accuracy: 0.1800
Train Epoch 1 iter 284 Loss: 2.2655, Accuracy: 0.1000
Train Epoch 1 iter 285 Loss: 2.1447, Accuracy: 0.2800
Train Epoch 1 iter 286 Loss: 2.2064, Accuracy: 0.1800
Train Epoch 1 iter 287 Loss: 2.2468, Accuracy: 0.1000
Train Epoch 1 iter 288 Loss: 2.3503, Accuracy: 0.1400
Train Epoch 1 iter 289 Loss: 2.2577, Accuracy: 0.1400
Train Epoch 1 iter 290 Loss: 2.2879, Accuracy: 0.1400
Train Epoch 1 iter 291 Loss: 2.2425, Accuracy: 0.1400
Train Epoch 1 iter 292 Loss: 2.1720, Accuracy: 0.1800
Train Epoch 1 iter 293 Loss: 2.2367, Accuracy: 0.1600
Train Epoch 1 iter 294 Loss: 2.1966, Accuracy: 0.1400
Train Epoch 1 iter 295 Loss: 2.1643, Accuracy: 0.2000
Train Epoch 1 iter 296 Loss: 2.3569, Accuracy: 0.1800
Train Epoch 1 iter 297 Loss: 2.1996, Accuracy: 0.1400
Train Epoch 1 iter 298 Loss: 2.2080, Accuracy: 0.2200
Train Epoch 1 iter 299 Loss: 2.2543, Accuracy: 0.0800
Train Epoch 1 iter 300 Loss: 2.2921, Accuracy: 0.1000
Train Epoch 1 iter 301 Loss: 2.2020, Accuracy: 0.1600
Train Epoch 1 iter 302 Loss: 2.2846, Accuracy: 0.1800
Train Epoch 1 iter 303 Loss: 2.3105, Accuracy: 0.1000
Train Epoch 1 iter 304 Loss: 2.2951, Accuracy: 0.0800
Train Epoch 1 iter 305 Loss: 2.2844, Accuracy: 0.1200
Train Epoch 1 iter 306 Loss: 2.2825, Accuracy: 0.2000
Train Epoch 1 iter 307 Loss: 2.2634, Accuracy: 0.1400
Train Epoch 1 iter 308 Loss: 2.3057, Accuracy: 0.1200
Train Epoch 1 iter 309 Loss: 2.2833, Accuracy: 0.1200
Train Epoch 1 iter 310 Loss: 2.2167, Accuracy: 0.1200
Train Epoch 1 iter 311 Loss: 2.2046, Accuracy: 0.1600
Train Epoch 1 iter 312 Loss: 2.2517, Accuracy: 0.0800
Train Epoch 1 iter 313 Loss: 2.1787, Accuracy: 0.2000
Train Epoch 1 iter 314 Loss: 2.2374, Accuracy: 0.1400
Train Epoch 1 iter 315 Loss: 2.2366, Accuracy: 0.0800
Train Epoch 1 iter 316 Loss: 2.2240, Accuracy: 0.1400
Train Epoch 1 iter 317 Loss: 2.2567, Accuracy: 0.1200
Train Epoch 1 iter 318 Loss: 2.0668, Accuracy: 0.2800
Train Epoch 1 iter 319 Loss: 2.1557, Accuracy: 0.1600
Train Epoch 1 iter 320 Loss: 2.3123, Accuracy: 0.1200
Train Epoch 1 iter 321 Loss: 2.2368, Accuracy: 0.2400
Train Epoch 1 iter 322 Loss: 2.2365, Accuracy: 0.1800
Train Epoch 1 iter 323 Loss: 2.2207, Accuracy: 0.2000
Train Epoch 1 iter 324 Loss: 2.1768, Accuracy: 0.2400
Train Epoch 1 iter 325 Loss: 2.2316, Accuracy: 0.0800
Train Epoch 1 iter 326 Loss: 2.3673, Accuracy: 0.0600
Train Epoch 1 iter 327 Loss: 2.1590, Accuracy: 0.1800
Train Epoch 1 iter 328 Loss: 2.2931, Accuracy: 0.1400
Train Epoch 1 iter 329 Loss: 2.2419, Accuracy: 0.0800
Train Epoch 1 iter 330 Loss: 2.1910, Accuracy: 0.1400
Train Epoch 1 iter 331 Loss: 2.1744, Accuracy: 0.1200
Train Epoch 1 iter 332 Loss: 2.2746, Accuracy: 0.1400
Train Epoch 1 iter 333 Loss: 2.2373, Accuracy: 0.1200
Train Epoch 1 iter 334 Loss: 2.2161, Accuracy: 0.1200
Train Epoch 1 iter 335 Loss: 2.1801, Accuracy: 0.1400
Train Epoch 1 iter 336 Loss: 2.3776, Accuracy: 0.0800
Train Epoch 1 iter 337 Loss: 2.1863, Accuracy: 0.2200
Train Epoch 1 iter 338 Loss: 2.2260, Accuracy: 0.2000
Train Epoch 1 iter 339 Loss: 2.3280, Accuracy: 0.0600
Train Epoch 1 iter 340 Loss: 2.1591, Accuracy: 0.1000
Train Epoch 1 iter 341 Loss: 2.1577, Accuracy: 0.1800
Train Epoch 1 iter 342 Loss: 2.2137, Accuracy: 0.2200
Train Epoch 1 iter 343 Loss: 2.1328, Accuracy: 0.1400
Train Epoch 1 iter 344 Loss: 2.2507, Accuracy: 0.0800
Train Epoch 1 iter 345 Loss: 2.1931, Accuracy: 0.1600
Train Epoch 1 iter 346 Loss: 2.3550, Accuracy: 0.0400
Train Epoch 1 iter 347 Loss: 2.3398, Accuracy: 0.0800
Train Epoch 1 iter 348 Loss: 2.2396, Accuracy: 0.1400
Train Epoch 1 iter 349 Loss: 2.1830, Accuracy: 0.1400
Train Epoch 1 iter 350 Loss: 2.2446, Accuracy: 0.2800
Train Epoch 1 iter 351 Loss: 2.2469, Accuracy: 0.2400
Train Epoch 1 iter 352 Loss: 2.3135, Accuracy: 0.1400
Train Epoch 1 iter 353 Loss: 2.1997, Accuracy: 0.1600
Train Epoch 1 iter 354 Loss: 2.3209, Accuracy: 0.1200
Train Epoch 1 iter 355 Loss: 2.2391, Accuracy: 0.0600
Train Epoch 1 iter 356 Loss: 2.2180, Accuracy: 0.1200
Train Epoch 1 iter 357 Loss: 2.1863, Accuracy: 0.1800
Train Epoch 1 iter 358 Loss: 2.1963, Accuracy: 0.1800
Train Epoch 1 iter 359 Loss: 2.2064, Accuracy: 0.2000
Train Epoch 1 iter 360 Loss: 2.2762, Accuracy: 0.1600
Train Epoch 1 iter 361 Loss: 2.2403, Accuracy: 0.1800
Train Epoch 1 iter 362 Loss: 2.3060, Accuracy: 0.1200
Train Epoch 1 iter 363 Loss: 2.3014, Accuracy: 0.2000
Train Epoch 1 iter 364 Loss: 2.2580, Accuracy: 0.0800
Train Epoch 1 iter 365 Loss: 2.1601, Accuracy: 0.1000
Train Epoch 1 iter 366 Loss: 2.2315, Accuracy: 0.0800
Train Epoch 1 iter 367 Loss: 2.2553, Accuracy: 0.0800
Train Epoch 1 iter 368 Loss: 2.1828, Accuracy: 0.0800
Train Epoch 1 iter 369 Loss: 2.2828, Accuracy: 0.1800
Train Epoch 1 iter 370 Loss: 2.2433, Accuracy: 0.0800
Train Epoch 1 iter 371 Loss: 2.2734, Accuracy: 0.1600
Train Epoch 1 iter 372 Loss: 2.2180, Accuracy: 0.1400
Train Epoch 1 iter 373 Loss: 2.2019, Accuracy: 0.1200
Train Epoch 1 iter 374 Loss: 2.1810, Accuracy: 0.1400
Train Epoch 1 iter 375 Loss: 2.2764, Accuracy: 0.1000
Train Epoch 1 iter 376 Loss: 2.0930, Accuracy: 0.1600
Train Epoch 1 iter 377 Loss: 2.2250, Accuracy: 0.1000
Train Epoch 1 iter 378 Loss: 2.2003, Accuracy: 0.1600
Train Epoch 1 iter 379 Loss: 2.3549, Accuracy: 0.1000
Train Epoch 1 iter 380 Loss: 2.2531, Accuracy: 0.1200
Train Epoch 1 iter 381 Loss: 2.1275, Accuracy: 0.1600
Train Epoch 1 iter 382 Loss: 2.1860, Accuracy: 0.1800
Train Epoch 1 iter 383 Loss: 2.1883, Accuracy: 0.1200
